RUN	Compenssar.user	user	1579293309345	 	3.0.2
USER	Escenario1: Ingreso al Portal	1	START	1579293311064	1579293311064
USER	Escenario1: Ingreso al Portal	2	START	1579293311072	1579293311072
USER	Escenario1: Ingreso al Portal	3	START	1579293311073	1579293311073
USER	Escenario1: Ingreso al Portal	4	START	1579293311073	1579293311073
USER	Escenario1: Ingreso al Portal	5	START	1579293311078	1579293311078
REQUEST	1		Home	1579293311132	1579293311308	OK	 
REQUEST	4		Home	1579293311137	1579293311273	OK	 
REQUEST	5		Home	1579293311138	1579293311274	OK	 
REQUEST	3		Home	1579293311135	1579293311308	OK	 
REQUEST	2		Home	1579293311134	1579293311307	OK	 
REQUEST	5		Pagina de Autenticacion 1	1579293316293	1579293316331	OK	 
REQUEST	2		Pagina de Autenticacion 1	1579293316324	1579293316359	OK	 
REQUEST	5		Pagina de Autenticacion 1 Redirect 1	1579293316349	1579293316415	OK	 
REQUEST	5		Pagina de Autenticacion 1 Redirect 2	1579293316419	1579293316435	OK	 
REQUEST	5		Pagina de Autenticacion 1 Redirect 3	1579293316438	1579293316455	OK	 
REQUEST	2		Pagina de Autenticacion 1 Redirect 1	1579293316361	1579293316478	OK	 
REQUEST	2		Pagina de Autenticacion 1 Redirect 2	1579293316479	1579293316500	OK	 
REQUEST	2		Pagina de Autenticacion 1 Redirect 3	1579293316502	1579293316523	OK	 
REQUEST	4		Pagina de Autenticacion 1	1579293316293	1579293316800	OK	 
REQUEST	4		Pagina de Autenticacion 1 Redirect 1	1579293316804	1579293316859	OK	 
REQUEST	3		Pagina de Autenticacion 1	1579293316324	1579293316868	OK	 
REQUEST	4		Pagina de Autenticacion 1 Redirect 2	1579293316861	1579293316879	OK	 
REQUEST	4		Pagina de Autenticacion 1 Redirect 3	1579293316881	1579293316903	OK	 
REQUEST	3		Pagina de Autenticacion 1 Redirect 1	1579293316871	1579293316931	OK	 
REQUEST	3		Pagina de Autenticacion 1 Redirect 2	1579293316933	1579293316951	OK	 
REQUEST	3		Pagina de Autenticacion 1 Redirect 3	1579293316953	1579293316980	OK	 
REQUEST	1		Pagina de Autenticacion 1	1579293316324	1579293317395	OK	 
REQUEST	1		Pagina de Autenticacion 1 Redirect 1	1579293317399	1579293317514	OK	 
REQUEST	1		Pagina de Autenticacion 1 Redirect 2	1579293317516	1579293317537	OK	 
REQUEST	1		Pagina de Autenticacion 1 Redirect 3	1579293317538	1579293317560	OK	 
REQUEST	5		Pagina de Autenticacion 2	1579293321459	1579293321478	OK	 
REQUEST	5		Pagina de Autenticacion 2 Redirect 1	1579293321482	1579293321501	OK	 
REQUEST	2		Pagina de Autenticacion 2	1579293321528	1579293321545	OK	 
REQUEST	2		Pagina de Autenticacion 2 Redirect 1	1579293321547	1579293321563	OK	 
REQUEST	5		Pagina de Autenticacion 2 Redirect 2	1579293321503	1579293321526	OK	 
REQUEST	2		Pagina de Autenticacion 2 Redirect 2	1579293321564	1579293321601	OK	 
REQUEST	4		Pagina de Autenticacion 2	1579293321896	1579293321917	OK	 
REQUEST	4		Pagina de Autenticacion 2 Redirect 1	1579293321919	1579293321939	OK	 
REQUEST	4		Pagina de Autenticacion 2 Redirect 2	1579293321941	1579293321968	OK	 
REQUEST	3		Pagina de Autenticacion 2	1579293321983	1579293321998	OK	 
REQUEST	3		Pagina de Autenticacion 2 Redirect 1	1579293321999	1579293322019	OK	 
REQUEST	3		Pagina de Autenticacion 2 Redirect 2	1579293322021	1579293322039	OK	 
REQUEST	1		Pagina de Autenticacion 2	1579293322565	1579293322577	OK	 
REQUEST	1		Pagina de Autenticacion 2 Redirect 1	1579293322580	1579293322595	OK	 
REQUEST	1		Pagina de Autenticacion 2 Redirect 2	1579293322598	1579293322616	OK	 
REQUEST	5		Pagina de Login	1579293326530	1579293326571	OK	 
REQUEST	2		Pagina de Login	1579293326603	1579293326622	OK	 
REQUEST	4		Pagina de Login	1579293326973	1579293326993	OK	 
REQUEST	3		Pagina de Login	1579293327037	1579293327061	OK	 
REQUEST	1		Pagina de Login	1579293327607	1579293327632	OK	 
REQUEST	5		Pagina para envio de Usuario y Clave	1579293331582	1579293332100	OK	 
REQUEST	2		Pagina para envio de Usuario y Clave	1579293331627	1579293332181	OK	 
REQUEST	3		Pagina para envio de Usuario y Clave	1579293332063	1579293332464	OK	 
REQUEST	4		Pagina para envio de Usuario y Clave	1579293332006	1579293332511	OK	 
REQUEST	5		Pagina para envio de Usuario y Clave Redirect 1	1579293332105	1579293332600	OK	 
REQUEST	2		Pagina para envio de Usuario y Clave Redirect 1	1579293332183	1579293332655	OK	 
REQUEST	3		Pagina para envio de Usuario y Clave Redirect 1	1579293332465	1579293332920	OK	 
REQUEST	4		Pagina para envio de Usuario y Clave Redirect 1	1579293332514	1579293332928	OK	 
REQUEST	1		Pagina para envio de Usuario y Clave	1579293332637	1579293333088	OK	 
REQUEST	1		Pagina para envio de Usuario y Clave Redirect 1	1579293333090	1579293333565	OK	 
REQUEST	5		Pagina Usuario Autenticado	1579293337608	1579293338185	OK	 
REQUEST	2		Pagina Usuario Autenticado	1579293337649	1579293338198	OK	 
REQUEST	3		Pagina Usuario Autenticado	1579293337927	1579293338421	OK	 
REQUEST	4		Pagina Usuario Autenticado	1579293337927	1579293338421	OK	 
REQUEST	1		Pagina Usuario Autenticado	1579293338576	1579293339076	OK	 
USER	Escenario1: Ingreso al Portal	5	END	1579293311078	1579293343185
USER	Escenario1: Ingreso al Portal	2	END	1579293311072	1579293343185
USER	Escenario1: Ingreso al Portal	3	END	1579293311073	1579293343416
USER	Escenario1: Ingreso al Portal	4	END	1579293311073	1579293343416
USER	Escenario1: Ingreso al Portal	1	END	1579293311064	1579293344074
